"AFFIRMATIVE ACTION", 317, "DO YOU THINK AFFIRMATIVE ACTION IN HIRING AND PROMOTION IS A GOOD POLICY FOR PRIVATE INDUSTRY?  WILL IT ACCOMPLISH THE GOVERNMENT'S GOALS? CAN YOU DISTINGUISH BETWEEN AFFIRMATIVE ACTION AND A QUOTA SYSTEM?", "N", "", ""
"AIDS", 301, "PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MORE, LESS, OR ABOUT THE SAME AMOUNT OF MONEY IT CURRENTLY IS?  WHY DO YOU THINK SO?", "Y", "", ""
"AIR POLLUTION", 302, "PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?", "Y", "", ""
"AUTO REPAIRS", 318, "WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.", "Y", "", ""
"BASEBALL", 365, "FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?", "Y", "", ""
"BASKETBALL", 319, "FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?", "Y", "", ""
"BOATING AND SAILING", 326, "DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.", "Y", "", ""
"BOOKS AND LITERATURE", 311, "FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?", "Y", "", ""
"BUYING A CAR", 320, "WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.", "Y", "", ""
"CAMPING", 321, "FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?", "Y", "", ""
"CAPITAL PUNISHMENT", 322, "COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?", "Y", "", ""
"CARE OF THE ELDERLY", 305, "PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?", "Y", "", ""
"CHILD CARE", 323, "FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?", "Y", "", ""
"CHOOSING A COLLEGE", 324, "WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?", "Y", "", ""
"CLOTHING AND DRESS", 303, "THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?", "Y", "", ""
"COMPUTERS", 325, "FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?", "Y", "", ""
"CONSUMER GOODS", 366, "FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?", "Y", "", ""
"CREDIT CARD USE", 304, "PLEASE DISCUSS CREDIT CARDS.  FIND OUT HOW THE OTHER CALLER MAKES USE OF CREDIT CARDS.  HOW DO THEY COMPARE TO YOUR OWN?", "Y", "", ""
"CRIME", 312, "DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?", "Y", "", ""
"DIRECTIONS", 330, "GET DIRECTIONS FROM THE OTHER CALLER ON HOW TO GET FROM THEIR PLACE OF WORK TO THE NEAREST MAJOR AIRPORT.", "N", "", ""
"DRUG TESTING", 354, "HOW DO YOU FEEL ABOUT THE PRACTICE OF SOME COMPANIES OR GOVERNMENT AGENCIES TESTING EMPLOYEES OR PROSPECTIVE EMPLOYEES FOR DRUGS?  IS RANDOM SPOT TESTING JUSTIFIED?  WHAT LIMITS SHOULD THERE BE, IF ANY?", "Y", "", ""
"ELECTIONS AND VOTING", 355, "WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS, AND EVEN FEWER IN LOCAL ELECTIONS? IS THIS A SERIOUS PROBLEM? CAN YOU SUGGEST A SOLUTION?", "Y", "", ""
"ETHICS IN GOVERNMENT", 367, "DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKE", "Y", "", "BEHAVIOR IN GOVERNMENT ILLEGAL?"
"EXERCISE AND FITNESS", 356, "DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SO, DESCRIBE WHAT YOU DO; IF NOT, HAVE YOU CONSIDERED DOING SO?  DO YOU ENJOY THE EXERCISE YOU GET, OR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES", "Y", "", "WITH THE OTHER CALLER'S."
"FAMILY FINANCE", 357, "DOES YOUR FAMILY KEEP A MONTHLY BUDGET, OR EVEN A LONG-TERM FINANCIAL PLAN?  IF NOT, HOW DO YOU CONTROL EXPENSES?  IF SO, CAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES, AND HOW SUCCESSFUL THEY HAVE BEEN?  SEE HOW SIMILAR THEY ARE TO", "Y", "", "THE OTHER CALLER'S."
"FAMILY LIFE", 358, "IF YOU HAVE CHILDREN, CAN YOU DESCRIBE HOW MUCH TIME YOU AND YOUR SPOUSE SPEND WITH THEM, AND WHAT ACTIVITIES YOU ALL DO TOGETHER?  IS IT DIFFICULT TO FIND TIME FOR THESE KINDS OF ACTIVITIES?  WHAT DO YOU THINK ARE THE CURRENT TRENDS IN THE", "Y", "", "WAY FAMILIES SPEND THEIR TIME?  DO YOU APPROVE?"
"FAMILY REUNIONS", 331, "DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.", "Y", "", ""
"FEDERAL BUDGET", 359, "WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?", "Y", "", ""
"FISHING", 360, "FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?", "Y", "", ""
"FOOTBALL", 307, "PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?", "Y", "", ""
"GARDENING", 361, "FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.", "Y", "", ""
"GOLF", 362, "DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?", "Y", "", ""
"GUN CONTROL", 314, "DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10, WITH 1 BEING A TOTAL BAN ON FIREARMS AND 10 BEING NO RESTRICTIONS ON ANY KIND OF WEAPON.", "Y", "", ""
"HEALTH CARE", 363, "DISCUSS OUR HEALTH CARE SYSTEM TODAY, PARTICULARLY AS IT AFFECTS YOU AND YOUR FAMILY.  DO YOU THINK GOOD MEDICAL ATTENTION IS AVAILABLE TO MOST PEOPLE? DO YOU THINK THE COSTS ARE REASONABLE?", "N", "", ""
"HOBBIES AND CRAFTS", 364, "WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTS, SUCH AS KNITTING, PAINTING, WOODWORKING?", "Y", "", ""
"HOME REPAIRS", 332, "FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?", "Y", "", ""
"HOUSES", 343, "FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?", "Y", "", ""
"IMMIGRATION", 344, "FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS, WHAT MIGHT THE SOLUTIONS BE?", "Y", "", ""
"JOB BENEFITS", 345, "WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB, AND WHAT CHANGES IN BENEFITS WOULD YOU LIKE TO SEE?", "Y", "", ""
"LATIN AMERICA", 346, "WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA, OR ABOUT OUR POLICY TOWARD THAT PART OF THE WORLD?", "Y", "", ""
"MAGAZINES", 369, "DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES, COMPARED  TO OTHER MEDIA?", "Y", "", ""
"METRIC SYSTEM", 347, "DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?", "Y", "", ""
"MIDDLE EAST", 315, "FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?", "Y", "", ""
"MOVIES", 348, "FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?", "Y", "", ""
"MUSIC", 308, "PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANS, SINGERS, INSTRUMENTS, OR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?", "N", "", ""
"NEWS MEDIA", 349, "DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TV, RADIO, NEWSPAPERS, OR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?", "Y", "", ""
"PAINTING", 350, "HAVE YOU DONE ANY PAINTING PROJECTS RECENTLY, EITHER INDOORS OR OUTDOORS?  WHAT TYPES OF PAINTING ARE YOU WILLING TO TAKE ON BY YOURSELF?  ARE YOU USUALLY SATISFIED WHEN YOU FINISH, OR DO YOU WISH YOU HIRED A PROFESSIONAL? SEE IF THE OTHER", "Y", "", "CALLER FEELS THE SAME WAY."
"PETS", 351, "FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS, IF ANY.    DISCUSS IN GENERAL WHY PEOPLE KEEP PETS.", "N", "", ""
"POLITICS", 352, "DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  OR, IF YOU PREFER, DISCUSS POLITICAL TRENDS OR CHANGES TAKING PLACE IN THE US.  SEE IF THE OTHER CALLER SHARES YOUR VIEWS.", "Y", "", ""
"PUBLIC EDUCATION", 353, "DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAY, AND IF SO, WHAT CAN BE DONE TO CORRECT IT.", "Y", "", ""
"PUERTO RICAN STTEHD", 309, "THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOOD, INDEPENDENCE, OR THE STATUS QUO FOR PUERTO RICO.     WHY?", "Y", "", ""
"RECIPES/FOOD/COOKING", 306, "PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.", "Y", "", ""
"RECYCLING", 335, "WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?", "Y", "", ""
"RESTAURANTS", 316, "WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.", "Y", "", ""
"RIGHT TO PRIVACY", 336, "FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?", "Y", "", ""
"SOCIAL CHANGE", 334, "DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TEN, TWENTY, OR THIRTY YEARS AGO?", "Y", "", ""
"SOVIET UNION", 338, "FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.", "Y", "", ""
"SPACE FLIGHT AND EXPLORATION", 368, "WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMON, OR WHETHER, GIVEN THE CHANCE, YOU", "Y", "", "WOULD TRAVEL INTO SPACE YOURSELF."
"SVGS & LOAN BAILOUT", 337, "WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?", "Y", "", ""
"TAXES", 340, "TALK ABOUT WHETHER AMERICANS, LIKE YOU, ARE PAYING TOO MUCH IN TAXES -- BE IT TAXES IN GENERAL OR INCOME TAX.  YOU MIGHT DISCUSS WHETHER AMERICANS IN GENERAL GET BACK WHAT THEY PAY FOR.", "Y", "", ""
"TRIAL BY JURY", 341, "DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE, WHAT DO YOU AND THE OTHER CALLER THINK ABOUT LEAVING THE SENTENCING TO THE JUDGE?  MUST CRIMINAL CASES REQUIRE UNANIMOUS VERDICTS?", "Y", "", ""
"TV PROGRAMS", 339, "FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?", "Y", "", ""
"UNIVERSAL HEALTH INS", 342, "DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE, OR SHOULD AT LEAST MAKE IT A LONG TERM GOAL?  HOW FAR IN THAT DIRECTION WHOULD YOU BE WILLING TO GO?  WHAT DO YOU SEE AS THE", "Y", "", "MOST IMPORTANT PROS AND CONS OF SUCH A PROGRAM?"
"UNIVERSAL PBLIC SERV", 327, "SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE, SUCH AS JOINING THE PEACE CORPS.", "Y", "", ""
"VACATION SPOTS", 310, "PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.", "Y", "", ""
"VIETNAM WAR", 328, "TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?", "Y", "", ""
"VOTING", 333, "FIND OUT FROM THE OTHER CALLER WHETHER OR NOT THEY THINK THAT LOW VOTER TURNOUT IN AMERICAN ELECTIONS IS A SERIOUS PROBLEM.  SHOULD ANYTHING BE DONE TO RAISE VOTER TURNOUT?", "N", "", ""
"WEATHER CLIMATE", 313, "DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.", "Y", "", ""
"WOMEN'S ROLES", 329, "DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?", "Y", "", ""
"WOODWORKING", 370, "PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOU, OR SOMETHING YOU DO TO SAVE MONEY? WHAT KINDS OF PROJECTS DO YOU LIKE TO DO, AND WHAT  KIND DO YOU AVOID? DO YOU USUALLY FINISH WHAT YOU START? WOULD YOU DO MORE IF YOU HAD", "Y", "", "MORE TIME AND MORE TOOLS?"
